name,county,lat,lon,population
Keszthely,Zala,46.7680,17.2473,19000
Karcag,Jász-Nagykun-Szolnok,47.3167,20.9333,19000
Hatvan,Heves,47.6667,19.6833,19000
Komárom,Komárom-Esztergom,47.7430,18.1210,19000
Békés,Békés,46.7667,21.1333,19000
Százhalombatta,Pest,47.3167,18.9167,19000
Paks,Tolna,46.6222,18.8558,18000
Dombóvár,Tolna,46.3769,18.1364,18000
Oroszlány,Komárom-Esztergom,47.4869,18.3156,18000
Monor,Pest,47.3500,19.4500,18000
Mohács,Baranya,45.9930,18.6837,17000
Hajdúnánás,Hajdú-Bihar,47.8500,21.4333,17000
Balmazújváros,Hajdú-Bihar,47.6167,21.3500,17000
Dabas,Pest,47.1833,19.3167,17000
Szigethalom,Pest,47.3200,19.0000,17000
Kisvárda,Szabolcs-Szatmár-Bereg,48.2231,22.0817,16000
Mátészalka,Szabolcs-Szatmár-Bereg,47.9531,22.3225,16000
Mezőkövesd,Borsod-Abaúj-Zemplén,47.8112,20.5711,16000
Mezőtúr,Jász-Nagykun-Szolnok,47.0000,20.6333,16000
Kalocsa,Bács-Kiskun,46.5281,18.9853,16000
Szarvas,Békés,46.8639,20.5525,16000
Csongrád,Csongrád-Csanád,46.7083,20.1439,16000
Tiszaújváros,Borsod-Abaúj-Zemplén,47.9278,21.0472,15000
Balassagyarmat,Nógrád,48.0779,19.2944,15000
Tapolca,Veszprém,46.8833,17.4333,15000
Sárvár,Vas,47.2539,16.9350,15000
Berettyóújfalu,Hajdú-Bihar,47.2167,21.5333,15000
Budakeszi,Pest,47.5100,18.9300,15000
Sátoraljaújhely,Borsod-Abaúj-Zemplén,48.3961,21.6567,14000
Mór,Fejér,47.3760,18.2049,14000
Kiskőrös,Bács-Kiskun,46.6219,19.2856,14000
Püspökladány,Hajdú-Bihar,47.3167,21.1167,14000
Pilisvörösvár,Pest,47.6167,18.9000,14000
Törökbálint,Pest,47.4300,18.9100,14000
Balatonfüred,Veszprém,46.9622,17.8720,13000
Bicske,Fejér,47.4910,18.6364,13000
Tiszavasvári,Szabolcs-Szatmár-Bereg,47.9667,21.3500,13000
Újfehértó,Szabolcs-Szatmár-Bereg,47.8000,21.6833,13000
Nagykáta,Pest,47.4167,19.7500,13000
Bonyhád,Tolna,46.3000,18.5300,13000
Sárospatak,Borsod-Abaúj-Zemplén,48.3221,21.5740,12000
Dorog,Komárom-Esztergom,47.7200,18.7300,12000
Nyírbátor,Szabolcs-Szatmár-Bereg,47.8333,22.1333,12000
Bátonyterenye,Nógrád,47.9700,19.8300,12000
Marcali,Somogy,46.5833,17.4167,11000
Gárdony,Fejér,47.1980,18.6090,11000
Kőszeg,Vas,47.3897,16.5408,11000
Celldömölk,Vas,47.2547,17.1507,11000
Körmend,Vas,47.0108,16.6051,11000
Tolna,Tolna,46.4270,18.7800,11000
Heves,Heves,47.6000,20.2800,11000
Tiszafüred,Jász-Nagykun-Szolnok,47.6200,20.7600,11000
Kisújszállás,Jász-Nagykun-Szolnok,47.2200,20.7700,11000
Szigetvár,Baranya,46.0483,17.8008,10000
Nagyatád,Somogy,46.2333,17.3667,10000
Csorna,Győr-Moson-Sopron,47.6120,17.2500,10000
Kapuvár,Győr-Moson-Sopron,47.5919,17.0294,10000
Sarkad,Békés,46.7500,21.3833,10000
Ráckeve,Pest,47.1600,18.9400,10000
Mezőberény,Békés,46.8200,21.0300,10000
Balatonalmádi,Veszprém,47.0333,18.0167,9000
Pásztó,Nógrád,47.9200,19.7000,9000
Jászapáti,Jász-Nagykun-Szolnok,47.5100,20.1400,9000
Kunszentmárton,Jász-Nagykun-Szolnok,46.8400,20.2900,8500
Szentgotthárd,Vas,46.9500,16.2800,8500
Fehérgyarmat,Szabolcs-Szatmár-Bereg,47.9833,22.5167,8000
Tamási,Tolna,46.6300,18.2800,8000
Füzesabony,Heves,47.7500,20.4200,8000
Kunhegyes,Jász-Nagykun-Szolnok,47.3700,20.6300,8000
Lenti,Zala,46.6236,16.5428,7500
Zirc,Veszprém,47.2600,17.8700,7000
Zalaszentgrót,Zala,46.9500,17.0833,6500
Mórahalom,Csongrád-Csanád,46.2167,19.8833,6000
Sümeg,Veszprém,46.9800,17.2800,6000
Balatonboglár,Somogy,46.7750,17.6500,6000
Szécsény,Nógrád,48.0800,19.5200,6000
Aszód,Pest,47.6500,19.4833,6000
Lőrinci,Heves,47.7300,19.6800,6000
Fonyód,Somogy,46.7333,17.5500,5000
Balatonlelle,Somogy,46.7833,17.7000,5000
Hévíz,Zala,46.7906,17.1860,4500
Tokaj,Borsod-Abaúj-Zemplén,48.1244,21.4084,4000
Harkány,Baranya,45.8500,18.2333,4000
Vasvár,Vas,47.0500,16.8000,4000
Pannonhalma,Győr-Moson-Sopron,47.5500,17.7500,4000
Tét,Győr-Moson-Sopron,47.5200,17.5100,4000
Fertőd,Győr-Moson-Sopron,47.6200,16.8700,3400
Zamárdi,Somogy,46.8833,17.9500,2500
Villány,Baranya,45.8700,18.4500,2500
Tihany,Veszprém,46.9100,17.8900,1400
